ID,SHORT NAME,URL,,,,
14013174033,Verify Audio playback and recording from Bluetooth Headset,https://hsdes.intel.com/appstore/article/#/14013174033,,,,
14013174097,Verify HG/SG card basic functionality,https://hsdes.intel.com/appstore/article/#/14013174097,,,,
14013174102,Verify OPI/DMI Config enabled,https://hsdes.intel.com/appstore/article/#/14013174102,,,,
14013174120,Verify if BIOS lists the GT details with DID,https://hsdes.intel.com/appstore/article/#/14013174120,,,,
14013174307,Verify HDCP 2.2 functionality in OS,https://hsdes.intel.com/appstore/article/#/14013174307,,,,
14013174635,Verify Soundwire enumeration in Device Manager,https://hsdes.intel.com/appstore/article/#/14013174635,,,,
14013174700,Verify the Dual Display functionality (onboard eDP+DP) in OS Post S3 cycle,https://hsdes.intel.com/appstore/article/#/14013174700,,,,
14013175002,Validate Discrete Graphics enumeration at OS with dGfx card connected,https://hsdes.intel.com/appstore/article/#/14013175002,,,,
14013175434,Verify Gen4 Hybrid graphics (HG) basic functionality on x4 PCIe Gen4 slot with DP display connected pre and post S4 and S5 cycle,https://hsdes.intel.com/appstore/article/#/14013175434,,,,
14013175643,"Verify if bootable devices are detected properly on the first boot itself, after flashing BIOS",https://hsdes.intel.com/appstore/article/#/14013175643,,,,
14013175741,Verify eSPI Initialization,https://hsdes.intel.com/appstore/article/#/14013175741,,,,
14013175744,Verify Trace Hub Initialization,https://hsdes.intel.com/appstore/article/#/14013175744,,,,
14013175873,Validate hot plug & unplug of USB2.0/3.0 mass storage and USB camera functionality over USB Type-A port for 10 cycles,https://hsdes.intel.com/appstore/article/#/14013175873,,,,
14013175907,Verify plug & unplug USB hub over Type-C port,https://hsdes.intel.com/appstore/article/#/14013175907,,,,
14013175937,Verify Onboard LAN controller enumeration in OS by disable/enable LAN controller option in BIOS,https://hsdes.intel.com/appstore/article/#/14013175937,,,,
14013176031,Verify OS Load on Intel RST PCIe Storage Pass through Device,https://hsdes.intel.com/appstore/article/#/14013176031,,,,
